,Tarifa,Estado,Municipio,Division,Anio,Mes,Cargo,Unidades,Costo
0, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
1, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
2, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
3, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
4, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
5, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
6, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
7, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
8, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
9, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
10, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
11, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
12, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
13, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
14, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
15, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
16, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
17, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
18, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
19, PDBT,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
20, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
21, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
22, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
23, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
24, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
25, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
26, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
27, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
28, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
29, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
30, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
31, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
32, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
33, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
34, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
35, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
36, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
37, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
38, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
39, PDBT,AGUASCALIENTES,ASIENTOS,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
40, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
41, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
42, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
43, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
44, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
45, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
46, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
47, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
48, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
49, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
50, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
51, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
52, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
53, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
54, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
55, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
56, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
57, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
58, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
59, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
60, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
61, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
62, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
