,Tarifa,Anio,Verano,Mes,Consumo,Precio,kwh,Minimo
0,Tarifa 1,2022,,ENERO,Consumobasico,0.882,75,25
1,Tarifa 1,2022,,ENERO,Consumointermedio,1.073,65,25
2,Tarifa 1,2022,,ENERO,Consumoexcedente,3.134,,25
3,Tarifa 1A,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
4,Tarifa 1A,2022,FEBRERO,ENERO,Consumointermedio,1.073,75,25
5,Tarifa 1A,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
6,Tarifa 1A,2022,MARZO,ENERO,Consumobasico,0.882,75,25
7,Tarifa 1A,2022,MARZO,ENERO,Consumointermedio,1.073,75,25
8,Tarifa 1A,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
9,Tarifa 1A,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
10,Tarifa 1A,2022,ABRIL,ENERO,Consumointermedio,1.073,75,25
11,Tarifa 1A,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
12,Tarifa 1A,2022,MAYO,ENERO,Consumobasico,0.882,75,25
13,Tarifa 1A,2022,MAYO,ENERO,Consumointermedio,1.073,75,25
14,Tarifa 1A,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
15,Tarifa 1B,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
16,Tarifa 1B,2022,FEBRERO,ENERO,Consumointermedio,1.073,100,25
17,Tarifa 1B,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
18,Tarifa 1B,2022,MARZO,ENERO,Consumobasico,0.882,75,25
19,Tarifa 1B,2022,MARZO,ENERO,Consumointermedio,1.073,100,25
20,Tarifa 1B,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
21,Tarifa 1B,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
22,Tarifa 1B,2022,ABRIL,ENERO,Consumointermedio,1.073,100,25
23,Tarifa 1B,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
24,Tarifa 1B,2022,MAYO,ENERO,Consumobasico,0.882,75,25
25,Tarifa 1B,2022,MAYO,ENERO,Consumointermedio,1.073,100,25
26,Tarifa 1B,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
27,Tarifa 1C,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
28,Tarifa 1C,2022,FEBRERO,ENERO,Consumointermedio,1.073,100,25
29,Tarifa 1C,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
30,Tarifa 1C,2022,MARZO,ENERO,Consumobasico,0.882,75,25
31,Tarifa 1C,2022,MARZO,ENERO,Consumointermedio,1.073,100,25
32,Tarifa 1C,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
33,Tarifa 1C,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
34,Tarifa 1C,2022,ABRIL,ENERO,Consumointermedio,1.073,100,25
35,Tarifa 1C,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
36,Tarifa 1C,2022,MAYO,ENERO,Consumobasico,0.882,75,25
37,Tarifa 1C,2022,MAYO,ENERO,Consumointermedio,1.073,100,25
38,Tarifa 1C,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
39,Tarifa 1D,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
40,Tarifa 1D,2022,FEBRERO,ENERO,Consumointermedio,1.073,125,25
41,Tarifa 1D,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
42,Tarifa 1D,2022,MARZO,ENERO,Consumobasico,0.882,75,25
43,Tarifa 1D,2022,MARZO,ENERO,Consumointermedio,1.073,125,25
